ID,Fhat3
CroCro_0244,0.0145024
CroCro_0245,0.023058
CroCro_0246,-0.00440522
CroCro_0247,-0.00355173
CroCro_0248,-0.0228305
CroCro_0249,-0.0105824
CroCro_2249,-0.0129853
CroCro_0251,0.0364297
CroCro_0252,0.0139834
CroCro_0253,-0.0273592
CroCro_0254,-0.020661
CroCro_0255,0.0475097
CroCro_0256,0.0415751
CroCro_0257,-0.0466452
CroCro_0258,-0.0353516
CroCro_0259,-0.00474341
CroCro_0260,0.0137936
CroCro_0261,0.0287527
E-001,-0.0269419
CroCro_0264,0.00274982
CroCro_0265,0.00231449
E-006,-0.0309782
CroCro_0269,-0.0208627
E-043,0.00161132
E-044,-0.0170718
CroCro_0272,-0.0154275
CroCro_0273,0.00990948
CroCro_0274,-0.0273104
E-083,-0.0203152
CroCro_0276,0.00720532
E-085,-0.0378731
E-086,-0.0100274
CroCro_0279,-0.0152347
E-088,-0.00665257
E-089,-0.00547189
CroCro_0282,1.86303e-4
CroCro_0283,0.0280167
E-094,-0.030706
E-095,-0.0308381
CroCro_0286,-0.0112836
CroCro_0287,0.0265382
CroCro_0288,-0.0325651
E-101,0.00319266
E-102,-0.0145418
E-103,-0.0353584
CroCro_0292,-0.0125781
CroCro_0293,-0.0047816000000000004
CroCro_0294,-0.0260147
CroCro_0295,-0.0500713
E-123,0.0863495
CroCro_0297,0.0387052
CroCro_0298,0.0151251
CroCro_0299,0.0428618
E-130,-0.0196238
E-131,0.019818
E-133,-8.02374e-5
CroCro_0303,0.00922619
CroCro_0304,0.0380968
CroCro_0305,-0.0202311
CroCro_0306,-0.0217064
E-139,-0.00917577
CroCro_0308,-0.0405009
CroCro_0309,0.064398
CroCro_0310,-0.0151031
CroCro_0311,0.00695112
CroCro_0312,-0.00160923
CroCro_0313,-0.00798645
CroCro_0314,-0.0178019
CroCro_0315,0.0236229
CroCro_0316,-0.00938288
CroCro_0317,-0.0094721
CroCro_0318,0.0255614
CroCro_0319,0.00998996
CroCro_0320,0.00481084
E-158,-0.00808205
CroCro_0323,0.0189196
CroCro_0324,-0.00417226
CroCro_0325,-0.0241251
CroCro_0326,-0.0286197
CroCro_0327,0.0135136
CroCro_0328,-0.0033149
E-166,-0.0205967
CroCro_0330,-0.015083
CroCro_0331,0.00812025
CroCro_0332,0.0523096
CroCro_0333,-0.0229314
E-172,-0.0100462
CroCro_0335,0.0207549
CroCro_0336,-0.0301712
CroCro_0337,-0.0108939
CroCro_0338,0.151107
E-179,-0.0257714
CroCro_0340,0.0021236
CroCro_0341,0.04068
E-183,-0.0141308
E-184,-0.0184861
E-185,0.0070598
CroCro_0345,0.0119801
CroCro_0347,0.0599511
CroCro_0348,0.0448256
E-196,-0.0243073
CroCro_0350,-0.0182793
E-200,-0.0141557
E-201,-0.0235134
CroCro_0353,-0.0144746
E-205,-0.0277827
CroCro_0355,-0.00907036
CroCro_0356,-0.00883562
E-209,-2.97362e-4
CroCro_0358,0.034015
CroCro_0359,-0.00652062
CroCro_2397,-0.00557235
CroCro_0361,-0.0141495
E-225,-0.00162335
CroCro_0363,0.00552717
CroCro_0364,-0.00747931
CroCro_0365,-0.0209771
CroCro_0366,-0.00926999
CroCro_0367,-0.0273495
CroCro_0368,0.0140519
CroCro_0369,-0.0217935
CroCro_0370,-0.0135794
CroCro_0371,0.0163812
E-245,-0.00456135
CroCro_0373,-0.0124798
E-248,-0.00373221
CroCro_0375,0.291431
CroCro_0376,0.0183307
CroCro_0377,-2.9349e-5
CroCro_0378,-0.00956299
CroCro_0379,0.0105162
CroCro_0380,-0.0032551
CroCro_0381,-0.0095756
CroCro_0382,-0.0339827
E-291,0.0099959
CroCro_0384,-0.0100858
CroCro_0385,0.00481343
CroCro_0386,-0.00339135
CroCro_0387,-0.0462509
CroCro_0388,-0.0139639
CroCro_0389,-0.0149639
CroCro_0390,0.033786
CroCro_0391,0.0137108
CroCro_0392,-0.0220697
CroCro_0393,0.0110398
CroCro_0394,0.00295315
CroCro_0395,0.0238762
CroCro_0396,0.00845499
F-008,-0.0051857
CroCro_0402,-0.0142623
CroCro_0403,0.0251666
F-080,0.0127711
CroCro_0405,0.00883246
CroCro_0406,0.0154573
CroCro_0408,-0.0307801
CroCro_0409,0.0594924
CroCro_0410,-0.00913001
CroCro_0411,0.0325676
CroCro_0412,-0.00928683
CroCro_0413,-0.0283824
CroCro_0414,0.00571692
CroCro_0415,-0.0184928
F-100,-0.0213
CroCro_0417,0.0652156
CroCro_0418,-0.0161438
F-104,0.00788485
CroCro_0420,-0.0280123
CroCro_0421,-0.012935
F-108,-0.0152567
CroCro_0423,-0.150928
F-111,-0.0198138
F-112,-0.00919963
CroCro_0426,0.00336738
CroCro_0427,0.0197805
CroCro_0428,-0.0203828
CroCro_0429,0.0746003
CroCro_0430,0.0218258
CroCro_0431,-0.00984612
CroCro_0432,-0.0191835
F-128,-0.0266809
CroCro_0434,-0.021463
F-132,-0.011942
CroCro_0436,-0.0429645
F-135,-0.0172228
CroCro_0438,-0.00345177
CroCro_0439,-0.0193154
F-139,-0.0240811
CroCro_0441,-0.0468805
CroCro_0442,-0.00133827
CroCro_0443,-0.0104732
CroCro_0444,-0.00478269
CroCro_0445,-7.661e-4
CroCro_0446,-0.00643437
CroCro_0447,0.0254736
CroCro_0448,0.00319485
CroCro_0449,-0.0108152
CroCro_0450,-0.0250499
F-160,-0.00626802
CroCro_0452,-0.0121819
CroCro_0453,-5.08754e-4
CroCro_0454,0.00299272
CroCro_0455,-0.015373
CroCro_0456,-0.0100253
F-169,-0.00477523
CroCro_0458,0.0208795
CroCro_0459,-0.0259324
CroCro_0460,-0.0273842
CroCro_0461,-0.00119008
CroCro_0462,-0.013418
CroCro_0463,-0.00579714
CroCro_0464,-0.00724763
CroCro_0465,-0.0344736
CroCro_0466,-0.00709529
CroCro_0467,-0.0143528
CroCro_0468,0.045047
CroCro_0469,-0.00365983
CroCro_0470,0.00592938
CroCro_0471,-0.0307066
CroCro_0472,-0.0385847
